x_var,y_var,point,diff_x,diff_y,distance,theta,diff_theta,cumulative_distance,r,cumulative_distance_10_actual,cumulative_distance_10_dummy,height,diff_height,_merge,grade
4453.3335,2920,572,-26.666504,0,.027521448,-1.5707964,0,16.178989,50000,161.78989,161,.53243244,.005405426,Matched (3),.19640777
4426.6665,2920,573,-26.666992,0,.027521953,-1.5707964,0,16.206511,50000,162.06511,162,.53783786,.005405426,Matched (3),.19640416
4400,2920,574,-26.666504,0,.027521448,-1.5707964,0,16.234032,50000,162.34032,162,.53783786,.005405426,Matched (3),.19640777
4373.3335,2920,575,-26.666504,0,.027521448,-1.5707964,0,16.261553,50000,162.61552,162,.53783786,.005405426,Matched (3),.19640777
4346.6665,2920,576,-26.666992,0,.027521953,-1.5707964,0,16.289076,50000,162.89076,162,.53783786,.005405426,Matched (3),.19640416
4320,2920,577,-26.666504,0,.027521448,-1.5707964,0,16.316597,50000,163.16597,163,.54324323,.0054053664,Matched (3),.19640559
4293.3335,2920,578,-26.666504,0,.027521448,-1.5707964,0,16.344118,50000,163.44118,163,.54324323,.0054053664,Matched (3),.19640559
4266.6665,2920,579,-26.666992,0,.027521953,-1.5707964,0,16.371641,50000,163.71642,163,.54324323,.0054053664,Matched (3),.196402
4240,2920,580,-26.666504,0,.027521448,-1.5707964,0,16.399162,50000,163.99162,163,.54324323,.0054053664,Matched (3),.19640559
4213.3335,2920,581,-26.666504,0,.027521448,-1.5707964,0,16.426683,50000,164.26683,164,.54324323,0,Master only (1),0
4186.6665,2920,582,-26.666992,0,.027521953,-1.5707964,0,16.454205,50000,164.54205,164,.54324323,0,Master only (1),0
4160,2920,583,-26.666504,0,.027521448,-1.5707964,0,16.481728,50000,164.81728,164,.54324323,0,Master only (1),0
4146.6665,2906.6667,584,-13.333496,-13.333252,.019460782,-2.3561854,-.78538907,16.501188,.024778524,165.01189,165,.54864866,.005405426,Matched (3),.27775994
4133.3335,2893.3333,585,-13.333008,-13.333496,.019460604,-2.3562129,-.000027418137,16.520649,709.77118,165.20648,165,.54864866,.005405426,Matched (3),.2777625
4120,2880,586,-13.333496,-13.333252,.019460782,-2.3561854,.000027418137,16.54011,709.77771,165.40109,165,.54864866,.005405426,Matched (3),.27775994
4106.6665,2866.6667,587,-13.333496,-13.333252,.019460782,-2.3561854,0,16.55957,50000,165.5957,165,.54864866,.005405426,Matched (3),.27775994
4093.3333,2840,588,-13.333252,-26.666748,.03077014,-2.6779487,-.32176328,16.59034,.095629744,165.9034,165,.54864866,.005405426,Matched (3),.17567116
4080,2813.3333,589,-13.333252,-26.666748,.03077014,-2.6779487,0,16.621109,50000,166.21109,166,.55405408,.005405426,Matched (3),.17567116
4066.6667,2786.6667,590,-13.333252,-26.666504,.030769916,-2.6779451,3.5762787e-06,16.65188,8603.8926,166.5188,166,.55405408,.005405426,Matched (3),.17567243
4053.3333,2773.3333,591,-13.333496,-13.333496,.019460959,-2.3561945,.32175064,16.671341,.060484603,166.71341,166,.55405408,.005405426,Matched (3),.27775744
4040,2760,592,-13.333252,-13.333252,.019460604,-2.3561945,0,16.690802,50000,166.90802,166,.55405408,.005405426,Matched (3),.2777625
